t[s]E3,x[nm],y[nm],delta_t [s],delta_x [nm],delta_y [nm],delta_x2,delta_y2,r2,t_sinnvoll,x_sinnvoll,y_sinnvoll
4.10E+003,38531,43338,1,-1.472,-0.276,9.204,-111.2685,-102.0645,4.102,38.531,43.338
5.10E+003,37059,43062,1.001,0.92,-0.552,11.2162,69.035,80.2512,5.102,37.059,43.062
6103,37979,42510,1.001,2.391,0.092,13.2202,187.3325,200.5527,6.103,37.979,42.51
7104,40370,42602,1,-0.46,0.92,15.208,-36.9288,-21.7208,7.104,40.37,42.602
8104,39910,43522,1.001,0.184,-0.276,17.2262,14.7207,31.9469,8.104,39.91,43.522
9105,40094,43246,1.001,1.012,0.368,19.2302,82.1744,101.4046,9.105,40.094,43.246
10106,41106,43614,1,1.011,-1.564,21.212,84.1385,105.3505,10.106,41.106,43.614
11106,42117,42050,1.001,0.828,0.92,23.2362,70.4313,93.6675,11.106,42.117,42.05
12107,42945,42970,1,-1.564,0.368,25.214,-131.8859,-106.6719,12.107,42.945,42.97
13107,41381,43338,1.001,-1.011,-0.46,27.2422,-82.6503,-55.408,13.107,41.381,43.338
14108,40370,42878,1,0.276,0.092,29.216,22.3604,51.5764,14.108,40.37,42.878
15108,40646,42970,1.001,1.563,0.552,31.2482,129.5024,160.7506,15.108,40.646,42.97
16109,42209,43522,1,0.368,-0.46,33.218,31.2012,64.4192,16.109,42.209,43.522
17109,42577,43062,1.001,1.747,1.656,35.2542,151.816,187.0703,17.109,42.577,43.062
18110,44324,44718,1,-1.103,-1.104,37.22,-96.5621,-59.3421,18.11,44.324,44.718
19110,43221,43614,1,-0.828,0.368,39.22,-70.8884,-31.6684,19.11,43.221,43.614
20110,42393,43982,1.001,0.368,-0.828,41.2622,31.3367,72.5989,20.11,42.393,43.982
21111,42761,43154,1,-0.276,0.736,43.222,-23.5279,19.6941,21.111,42.761,43.154
22111,42485,43890,1.001,-0.46,0.368,45.2682,-38.8746,6.3936,22.111,42.485,43.89
23112,42025,44258,1,-0.276,0,47.224,-23.1216,24.1024,23.112,42.025,44.258
24112,41749,44258,1.001,-2.759,0,49.2742,-222.7589,-173.4847,24.112,41.749,44.258
25113,38990,44258,1,2.943,-2.392,51.226,238.1564,289.3824,25.113,38.99,44.258
26113,41933,41866,1.002,0.828,0.736,53.3345,70.1266,123.4611,26.113,41.933,41.866
27115,42761,42602,1,1.379,-1.932,55.23,119.8365,175.0665,27.115,42.761,42.602
28115,44140,40670,1.001,1.104,0.92,57.2882,98.6799,155.9682,28.115,44.14,40.67
29116,45244,41590,1,0.367,-2.117,59.232,33.3438,92.5758,29.116,45.244,41.59
30116,45611,39473,1,-0.183,-1.656,61.232,-16.6601,44.5719,30.116,45.611,39.473
31116,45428,37817,1.001,1.379,2.485,63.2962,127.1921,190.4883,31.116,45.428,37.817
32117,46807,40302,1,0.828,-0.829,65.234,78.198,143.432,32.117,46.807,40.302
33117,47635,39473,1.001,-0.828,0.553,67.3022,-78.198,-10.8957,33.117,47.635,39.473
34118,46807,40026,1,-0.552,1.84,69.236,-51.3702,17.8658,34.118,46.807,40.026
