X,CH1,CH2,
Second,Volt,Volt,
-3.4719996e-02,1.60000e-03,-8.00000e-02,
-3.4699999e-02,1.60000e-03,-8.00000e-02,
-3.4679994e-02,1.60000e-03,-8.00000e-02,
-3.4659997e-02,1.60000e-03,-8.00000e-02,
-3.4639999e-02,1.60000e-03,-8.00000e-02,
-3.4619994e-02,1.60000e-03,-8.00000e-02,
-3.4599997e-02,1.60000e-03,-8.00000e-02,
-3.4580000e-02,1.60000e-03,-8.00000e-02,
-3.4559995e-02,1.60000e-03,-8.00000e-02,
-3.4539998e-02,1.60000e-03,-8.00000e-02,
-3.4519993e-02,1.60000e-03,-8.00000e-02,
-3.4499995e-02,1.60000e-03,-8.00000e-02,
-3.4479998e-02,1.60000e-03,-8.00000e-02,
-3.4459993e-02,1.60000e-03,-8.00000e-02,
-3.4439996e-02,1.60000e-03,-8.00000e-02,
-3.4419999e-02,1.60000e-03,-8.00000e-02,
-3.4399994e-02,1.60000e-03,-8.00000e-02,
-3.4379996e-02,1.60000e-03,-8.00000e-02,
-3.4359999e-02,8.00000e-04,-8.00000e-02,
-3.4339994e-02,1.60000e-03,-8.00000e-02,
-3.4319997e-02,8.00000e-04,-8.00000e-02,
-3.4299999e-02,1.60000e-03,-8.00000e-02,
-3.4279995e-02,8.00000e-04,-8.00000e-02,
-3.4259997e-02,1.60000e-03,-8.00000e-02,
-3.4239992e-02,1.60000e-03,-8.00000e-02,
-3.4219995e-02,2.40000e-03,-8.00000e-02,
-3.4199998e-02,1.60000e-03,-8.00000e-02,
-3.4179993e-02,1.60000e-03,-8.00000e-02,
-3.4159996e-02,1.60000e-03,-8.00000e-02,
-3.4139998e-02,2.40000e-03,-8.00000e-02,
-3.4119993e-02,2.40000e-03,-8.00000e-02,
-3.4099996e-02,3.20000e-03,-8.00000e-02,
-3.4079999e-02,3.20000e-03,-8.00000e-02,
-3.4059994e-02,3.20000e-03,-8.00000e-02,
-3.4039997e-02,2.40000e-03,-8.00000e-02,
-3.4019999e-02,2.40000e-03,-8.00000e-02,
-3.3999994e-02,2.40000e-03,-8.00000e-02,
-3.3979997e-02,2.40000e-03,-8.00000e-02,
-3.3960000e-02,1.60000e-03,-8.00000e-02,
-3.3939995e-02,1.60000e-03,-8.00000e-02,
-3.3919998e-02,1.60000e-03,-8.00000e-02,
-3.3899993e-02,2.40000e-03,-8.00000e-02,
-3.3879995e-02,1.60000e-03,-8.00000e-02,
-3.3859998e-02,1.60000e-03,-8.00000e-02,
-3.3839993e-02,1.60000e-03,-8.00000e-02,
-3.3819996e-02,1.60000e-03,-8.00000e-02,
-3.3799998e-02,1.60000e-03,-8.00000e-02,
-3.3779994e-02,2.40000e-03,-8.00000e-02,
-3.3759996e-02,3.20000e-03,-8.00000e-02,
-3.3739999e-02,4.00000e-03,-8.00000e-02,
-3.3719994e-02,3.20000e-03,-8.00000e-02,
-3.3699997e-02,3.20000e-03,-8.00000e-02,
-3.3679999e-02,2.40000e-03,-8.00000e-02,
-3.3659995e-02,2.40000e-03,-8.00000e-02,
-3.3639997e-02,2.40000e-03,-8.00000e-02,
-3.3620000e-02,3.20000e-03,-8.00000e-02,
-3.3599995e-02,3.20000e-03,-8.00000e-02,
-3.3579998e-02,3.20000e-03,-8.00000e-02,
-3.3559993e-02,2.40000e-03,-8.00000e-02,
-3.3539996e-02,3.20000e-03,-8.00000e-02,
-3.3519998e-02,3.20000e-03,-8.00000e-02,
-3.3499993e-02,3.20000e-03,-8.00000e-02,
-3.3479996e-02,2.40000e-03,-8.00000e-02,
-3.3459999e-02,1.60000e-03,-8.00000e-02,
-3.3439994e-02,1.60000e-03,-8.00000e-02,
-3.3419997e-02,2.40000e-03,-8.00000e-02,
-3.3399999e-02,3.20000e-03,-8.00000e-02,
-3.3379994e-02,3.20000e-03,-8.00000e-02,
-3.3359997e-02,2.40000e-03,-8.00000e-02,
-3.3340000e-02,3.20000e-03,-8.00000e-02,
-3.3319995e-02,3.20000e-03,-8.00000e-02,
-3.3299997e-02,2.40000e-03,-8.00000e-02,
-3.3279993e-02,2.40000e-03,-8.00000e-02,
-3.3259995e-02,1.60000e-03,-8.00000e-02,
-3.3239998e-02,1.60000e-03,-8.00000e-02,
-3.3219993e-02,1.60000e-03,-8.00000e-02,
-3.3199996e-02,1.60000e-03,-8.00000e-02,
-3.3179998e-02,8.00000e-04,-8.00000e-02,
-3.3159994e-02,8.00000e-04,-8.00000e-02,
-3.3139996e-02,8.00000e-04,-8.00000e-02,
-3.3119999e-02,0.00000e+00,-8.00000e-02,
-3.3099994e-02,8.00000e-04,-8.00000e-02,
-3.3079997e-02,1.60000e-03,-8.00000e-02,
-3.3059999e-02,1.60000e-03,-8.00000e-02,
-3.3039995e-02,1.60000e-03,-8.00000e-02,
-3.3019997e-02,1.60000e-03,-8.00000e-02,
-3.3000000e-02,0.00000e+00,-8.00000e-02,
-3.2979995e-02,0.00000e+00,-8.00000e-02,
-3.2959998e-02,-8.00000e-04,-8.00000e-02,
-3.2939993e-02,0.00000e+00,-8.00000e-02,
-3.2919995e-02,0.00000e+00,-8.00000e-02,
-3.2899998e-02,0.00000e+00,-8.00000e-02,
-3.2879993e-02,0.00000e+00,-8.00000e-02,
-3.2859996e-02,-8.00000e-04,-8.00000e-02,
-3.2839999e-02,0.00000e+00,-8.00000e-02,
-3.2819994e-02,0.00000e+00,-8.00000e-02,
-3.2799996e-02,0.00000e+00,-8.00000e-02,
-3.2779999e-02,0.00000e+00,-8.00000e-02,
-3.2759994e-02,0.00000e+00,-8.00000e-02,
-3.2739997e-02,-8.00000e-04,-1.60000e-01,
-3.2720000e-02,-8.00000e-04,-8.00000e-02,
-3.2699995e-02,-8.00000e-04,-8.00000e-02,
-3.2679997e-02,-8.00000e-04,-8.00000e-02,
-3.2659993e-02,-8.00000e-04,-8.00000e-02,
-3.2639995e-02,-8.00000e-04,-8.00000e-02,
-3.2619998e-02,-1.60000e-03,-8.00000e-02,
-3.2599993e-02,-1.60000e-03,-8.00000e-02,
-3.2579996e-02,-1.60000e-03,-8.00000e-02,
-3.2559998e-02,-1.60000e-03,-8.00000e-02,
-3.2539994e-02,-1.60000e-03,-8.00000e-02,
-3.2519996e-02,-1.60000e-03,-8.00000e-02,
-3.2499999e-02,-8.00000e-04,-8.00000e-02,
-3.2479994e-02,-1.60000e-03,-8.00000e-02,
-3.2459997e-02,-1.60000e-03,-8.00000e-02,
-3.2439999e-02,-1.60000e-03,-8.00000e-02,
-3.2419994e-02,-1.60000e-03,-8.00000e-02,
-3.2399997e-02,-3.20000e-03,-8.00000e-02,
-3.2380000e-02,-1.60000e-03,-8.00000e-02,
-3.2359995e-02,-1.60000e-03,-8.00000e-02,
-3.2339998e-02,-1.60000e-03,-8.00000e-02,
-3.2319993e-02,-1.60000e-03,-8.00000e-02,
-3.2299995e-02,-1.60000e-03,-8.00000e-02,
-3.2279998e-02,-1.60000e-03,-8.00000e-02,
-3.2259993e-02,-1.60000e-03,-8.00000e-02,
-3.2239996e-02,-1.60000e-03,-8.00000e-02,
-3.2219999e-02,-1.60000e-03,-8.00000e-02,
-3.2199994e-02,-1.60000e-03,-1.60000e-01,
-3.2179996e-02,-1.60000e-03,-8.00000e-02,
-3.2159999e-02,-1.60000e-03,-8.00000e-02,
-3.2139994e-02,-8.00000e-04,-8.00000e-02,
-3.2119997e-02,-1.60000e-03,-8.00000e-02,
-3.2099999e-02,-8.00000e-04,-8.00000e-02,
-3.2079995e-02,-8.00000e-04,-8.00000e-02,
-3.2059997e-02,0.00000e+00,-8.00000e-02,
-3.2039993e-02,0.00000e+00,-8.00000e-02,
