X,CH1,
Second,Volt,
-1.1663999e-01,1.60000e-03,
-1.1660000e-01,1.60000e-03,
-1.1655999e-01,1.60000e-03,
-1.1652000e-01,1.60000e-03,
-1.1648000e-01,1.60000e-03,
-1.1643999e-01,1.60000e-03,
-1.1640000e-01,1.60000e-03,
-1.1636000e-01,1.60000e-03,
-1.1631999e-01,1.60000e-03,
-1.1628000e-01,1.60000e-03,
-1.1623999e-01,1.60000e-03,
-1.1619999e-01,1.60000e-03,
-1.1616000e-01,1.60000e-03,
-1.1611999e-01,1.60000e-03,
-1.1607999e-01,1.60000e-03,
-1.1604000e-01,1.60000e-03,
-1.1599999e-01,1.60000e-03,
-1.1595999e-01,1.60000e-03,
-1.1592000e-01,1.60000e-03,
-1.1587999e-01,1.60000e-03,
-1.1584000e-01,1.60000e-03,
-1.1580000e-01,1.60000e-03,
-1.1575999e-01,1.60000e-03,
-1.1572000e-01,1.60000e-03,
-1.1567999e-01,1.60000e-03,
-1.1563999e-01,1.60000e-03,
-1.1560000e-01,1.60000e-03,
-1.1555999e-01,1.60000e-03,
-1.1551999e-01,0.00000e+00,
-1.1548000e-01,8.00000e-04,
-1.1543999e-01,8.00000e-04,
-1.1539999e-01,8.00000e-04,
-1.1536000e-01,8.00000e-04,
-1.1531999e-01,1.60000e-03,
-1.1527999e-01,8.00000e-04,
-1.1524000e-01,8.00000e-04,
-1.1519999e-01,8.00000e-04,
-1.1516000e-01,0.00000e+00,
-1.1512000e-01,0.00000e+00,
-1.1507999e-01,0.00000e+00,
-1.1504000e-01,0.00000e+00,
-1.1499999e-01,8.00000e-04,
-1.1495999e-01,8.00000e-04,
-1.1492000e-01,8.00000e-04,
-1.1487999e-01,0.00000e+00,
-1.1483999e-01,0.00000e+00,
-1.1480000e-01,8.00000e-04,
-1.1475999e-01,1.60000e-03,
-1.1471999e-01,1.60000e-03,
-1.1468000e-01,8.00000e-04,
-1.1463999e-01,8.00000e-04,
-1.1460000e-01,8.00000e-04,
-1.1456000e-01,8.00000e-04,
-1.1451999e-01,1.60000e-03,
-1.1448000e-01,0.00000e+00,
-1.1444000e-01,-8.00000e-04,
-1.1439999e-01,8.00000e-04,
-1.1436000e-01,8.00000e-04,
-1.1431999e-01,8.00000e-04,
-1.1427999e-01,0.00000e+00,
-1.1424000e-01,0.00000e+00,
-1.1419999e-01,8.00000e-04,
-1.1415999e-01,8.00000e-04,
-1.1412000e-01,8.00000e-04,
-1.1407999e-01,0.00000e+00,
-1.1403999e-01,8.00000e-04,
-1.1400000e-01,1.60000e-03,
-1.1395999e-01,0.00000e+00,
-1.1392000e-01,8.00000e-04,
-1.1388000e-01,8.00000e-04,
-1.1383999e-01,0.00000e+00,
-1.1380000e-01,0.00000e+00,
-1.1375999e-01,0.00000e+00,
-1.1371999e-01,8.00000e-04,
-1.1368000e-01,0.00000e+00,
-1.1363999e-01,-8.00000e-04,
-1.1359999e-01,0.00000e+00,
-1.1356000e-01,0.00000e+00,
-1.1351999e-01,0.00000e+00,
-1.1347999e-01,0.00000e+00,
-1.1344000e-01,0.00000e+00,
-1.1339999e-01,0.00000e+00,
-1.1336000e-01,8.00000e-04,
-1.1332000e-01,0.00000e+00,
-1.1327999e-01,-8.00000e-04,
-1.1324000e-01,-8.00000e-04,
-1.1320000e-01,0.00000e+00,
-1.1315999e-01,0.00000e+00,
-1.1312000e-01,0.00000e+00,
-1.1307999e-01,-8.00000e-04,
-1.1303999e-01,0.00000e+00,
-1.1300000e-01,-8.00000e-04,
-1.1295999e-01,0.00000e+00,
-1.1291999e-01,0.00000e+00,
-1.1288000e-01,1.60000e-03,
-1.1283999e-01,8.00000e-04,
-1.1279999e-01,0.00000e+00,
-1.1276000e-01,0.00000e+00,
-1.1271999e-01,8.00000e-04,
-1.1268000e-01,0.00000e+00,
-1.1264000e-01,0.00000e+00,
-1.1259999e-01,0.00000e+00,
-1.1256000e-01,-8.00000e-04,
-1.1251999e-01,0.00000e+00,
-1.1247999e-01,0.00000e+00,
-1.1244000e-01,0.00000e+00,
-1.1239999e-01,8.00000e-04,
-1.1235999e-01,1.60000e-03,
-1.1232000e-01,1.60000e-03,
-1.1227999e-01,8.00000e-04,
-1.1223999e-01,1.60000e-03,
-1.1220000e-01,1.60000e-03,
-1.1215999e-01,1.60000e-03,
-1.1212000e-01,1.60000e-03,
-1.1208000e-01,1.60000e-03,
-1.1203999e-01,1.60000e-03,
-1.1200000e-01,8.00000e-04,
-1.1196000e-01,1.60000e-03,
-1.1191999e-01,1.60000e-03,
-1.1188000e-01,8.00000e-04,
-1.1183999e-01,8.00000e-04,
-1.1179999e-01,8.00000e-04,
-1.1176000e-01,8.00000e-04,
-1.1171999e-01,8.00000e-04,
-1.1167999e-01,0.00000e+00,
-1.1164000e-01,0.00000e+00,
-1.1159999e-01,0.00000e+00,
-1.1155999e-01,8.00000e-04,
-1.1152000e-01,1.60000e-03,
-1.1147999e-01,1.60000e-03,
-1.1144000e-01,0.00000e+00,
-1.1140000e-01,0.00000e+00,
-1.1135999e-01,0.00000e+00,
-1.1132000e-01,0.00000e+00,
-1.1127999e-01,0.00000e+00,
-1.1123999e-01,0.00000e+00,
-1.1120000e-01,1.60000e-03,
-1.1115999e-01,1.60000e-03,
-1.1111999e-01,1.60000e-03,
-1.1108000e-01,1.60000e-03,
-1.1103999e-01,8.00000e-04,
-1.1099999e-01,1.60000e-03,
-1.1096000e-01,2.40000e-03,
-1.1091999e-01,1.60000e-03,
-1.1087999e-01,1.60000e-03,
-1.1084000e-01,8.00000e-04,
-1.1079999e-01,8.00000e-04,
-1.1076000e-01,0.00000e+00,
-1.1072000e-01,0.00000e+00,
-1.1067999e-01,0.00000e+00,
-1.1064000e-01,0.00000e+00,
-1.1059999e-01,0.00000e+00,
-1.1055999e-01,8.00000e-04,
-1.1052000e-01,8.00000e-04,
-1.1047999e-01,1.60000e-03,
-1.1043999e-01,1.60000e-03,
-1.1040000e-01,1.60000e-03,
-1.1035999e-01,0.00000e+00,
-1.1031999e-01,8.00000e-04,
-1.1028000e-01,8.00000e-04,
-1.1023999e-01,8.00000e-04,
-1.1020000e-01,8.00000e-04,
-1.1016000e-01,0.00000e+00,
-1.1011999e-01,0.00000e+00,
-1.1008000e-01,-8.00000e-04,
-1.1004000e-01,-8.00000e-04,
-1.0999999e-01,-8.00000e-04,
-1.0996000e-01,-8.00000e-04,
-1.0991999e-01,0.00000e+00,
-1.0987999e-01,0.00000e+00,
-1.0984000e-01,8.00000e-04,
-1.0979999e-01,0.00000e+00,
-1.0975999e-01,0.00000e+00,
-1.0972000e-01,0.00000e+00,
-1.0967999e-01,8.00000e-04,
-1.0963999e-01,8.00000e-04,
-1.0960000e-01,0.00000e+00,
-1.0955999e-01,8.00000e-04,
-1.0952000e-01,8.00000e-04,
-1.0948000e-01,1.60000e-03,
-1.0943999e-01,1.60000e-03,
-1.0940000e-01,1.60000e-03,
-1.0935999e-01,1.60000e-03,
-1.0931999e-01,8.00000e-04,
-1.0928000e-01,0.00000e+00,
-1.0923999e-01,-8.00000e-04,
-1.0919999e-01,0.00000e+00,
-1.0916000e-01,8.00000e-04,
-1.0911999e-01,8.00000e-04,
-1.0907999e-01,8.00000e-04,
-1.0904000e-01,8.00000e-04,
-1.0899999e-01,8.00000e-04,
-1.0896000e-01,0.00000e+00,
-1.0892000e-01,0.00000e+00,
-1.0887999e-01,-8.00000e-04,
-1.0884000e-01,0.00000e+00,
-1.0880000e-01,8.00000e-04,
-1.0875999e-01,0.00000e+00,
-1.0872000e-01,0.00000e+00,
-1.0867999e-01,-8.00000e-04,
-1.0863999e-01,-8.00000e-04,
-1.0860000e-01,0.00000e+00,
-1.0855999e-01,0.00000e+00,
-1.0851999e-01,0.00000e+00,
-1.0848000e-01,-8.00000e-04,
-1.0843999e-01,0.00000e+00,
-1.0839999e-01,0.00000e+00,
-1.0836000e-01,0.00000e+00,
-1.0831999e-01,8.00000e-04,
-1.0828000e-01,8.00000e-04,
-1.0824000e-01,0.00000e+00,
-1.0819999e-01,-8.00000e-04,
-1.0816000e-01,0.00000e+00,
-1.0811999e-01,0.00000e+00,
-1.0807999e-01,0.00000e+00,
-1.0804000e-01,8.00000e-04,
-1.0799999e-01,0.00000e+00,
-1.0795999e-01,8.00000e-04,
-1.0792000e-01,1.60000e-03,
-1.0787999e-01,1.60000e-03,
-1.0783999e-01,1.60000e-03,
-1.0780000e-01,8.00000e-04,
-1.0775999e-01,8.00000e-04,
-1.0772000e-01,1.60000e-03,
-1.0768000e-01,8.00000e-04,
-1.0763999e-01,8.00000e-04,
-1.0760000e-01,8.00000e-04,
-1.0756000e-01,0.00000e+00,
-1.0751999e-01,8.00000e-04,
-1.0748000e-01,8.00000e-04,
-1.0743999e-01,8.00000e-04,
-1.0739999e-01,8.00000e-04,
-1.0736000e-01,8.00000e-04,
-1.0731999e-01,1.60000e-03,
-1.0727999e-01,8.00000e-04,
-1.0724000e-01,8.00000e-04,
-1.0719999e-01,1.60000e-03,
-1.0715999e-01,8.00000e-04,
-1.0712000e-01,0.00000e+00,
-1.0707999e-01,8.00000e-04,
-1.0704000e-01,1.60000e-03,
-1.0700000e-01,1.60000e-03,
-1.0695999e-01,8.00000e-04,
-1.0692000e-01,8.00000e-04,
-1.0688000e-01,8.00000e-04,
-1.0683999e-01,1.60000e-03,
-1.0680000e-01,8.00000e-04,
-1.0675999e-01,1.60000e-03,
-1.0671999e-01,8.00000e-04,
-1.0668000e-01,8.00000e-04,
-1.0663999e-01,0.00000e+00,
-1.0659999e-01,8.00000e-04,
-1.0656000e-01,8.00000e-04,
-1.0651999e-01,8.00000e-04,
-1.0647999e-01,0.00000e+00,
-1.0644000e-01,0.00000e+00,
-1.0639999e-01,-8.00000e-04,
-1.0636000e-01,0.00000e+00,
-1.0632000e-01,0.00000e+00,
-1.0627999e-01,8.00000e-04,
